;currencies;news_date;negative_norm;important_norm;disliked_norm;liked_norm;lol_norm;toxic_norm;saved_norm;comments_norm;attention_score
131;ADA;2021-07-30;0.11765;0.09804;0.07843;0.10784;0.17647;0.0098;0.0;0.41176;0.3563568080654957
132;ADA;2021-07-31;0.0;0.2;0.0;0.6;0.0;0.0;0.0;0.2;0.0467505685350341
133;ADA;2021-08-01;0.0;0.16667;0.0;0.44444;0.0;0.0;0.05556;0.33333;0.056905036954168715
134;ADA;2021-08-02;0.23077;0.0;0.38462;0.0;0.23077;0.0;0.0;0.15385;0.1270659132188252
135;ADA;2021-08-03;0.03279;0.32787;0.01639;0.5082;0.01639;0.0;0.06557;0.03279;0.1801092527461632
136;ADA;2021-08-04;0.13699;0.08219;0.0137;0.12329;0.09589;0.0;0.0;0.54795;0.11928248794424144
137;ADA;2021-08-05;0.03279;0.29508;0.03279;0.52459;0.0;0.0;0.01639;0.09836;0.1856216805890821
138;ADA;2021-08-09;0.0;0.33333;0.0;0.66667;0.0;0.0;0.0;0.0;0.021709552215109885
139;ADA;2021-08-10;0.0;0.28571;0.0;0.57143;0.0;0.0;0.14286;0.0;0.020038817879970083
140;ADA;2021-08-11;0.08333;0.11111;0.0;0.25;0.13889;0.0;0.08333;0.33333;0.06588898842180271
141;ADA;2021-08-13;0.05202;0.32948;0.03468;0.36416;0.0289;0.0;0.04046;0.15029;0.2832946359425885
142;ADA;2021-08-14;0.03;0.3;0.02;0.5;0.03;0.0;0.02;0.1;0.1723458336326125
143;ADA;2021-08-15;0.25253;0.0404;0.30303;0.11111;0.18182;0.0;0.0;0.11111;0.07380247610468232
144;ADA;2021-08-16;0.13559;0.13559;0.13559;0.26271;0.16102;0.0;0.0;0.16949;0.15071631127351376
145;ADA;2021-08-17;0.03361;0.2437;0.04202;0.40336;0.03361;0.0;0.02521;0.21849;0.1835707658365015
146;ADA;2021-08-18;0.2029;0.18841;0.10145;0.4058;0.04348;0.0;0.0;0.05797;0.13179799642741036
147;ADA;2021-08-19;0.12632;0.21053;0.09474;0.4;0.03158;0.0;0.0;0.13684;0.10516627041647861
148;ADA;2021-08-20;0.09091;0.20909;0.06364;0.44545;0.00909;0.0;0.02727;0.15455;0.1422926143072689
149;ADA;2021-08-21;0.09574;0.20213;0.09574;0.37234;0.04255;0.0;0.01064;0.18085;0.22949097284967046
150;ADA;2021-08-22;0.13072;0.13072;0.2549;0.22876;0.0719;0.0;0.0;0.18301;0.26762775458825566
151;ADA;2021-08-23;0.03226;0.31613;0.03226;0.47742;0.03226;0.0;0.0129;0.09677;0.12792628249729124
152;ADA;2021-08-25;0.08537;0.21951;0.06098;0.37805;0.06098;0.0;0.06098;0.13415;0.12915682538575135
153;ADA;2021-08-26;0.23256;0.10465;0.2093;0.05814;0.03488;0.0;0.04651;0.31395;0.2094121366787227
154;ADA;2021-08-27;0.075;0.1125;0.0875;0.4125;0.1125;0.0;0.0;0.2;0.08818880662183273
155;ADA;2021-08-28;0.25;0.0;0.16667;0.0;0.5;0.0;0.0;0.08333;0.023960543485741725
156;ADA;2021-08-29;0.0413;0.14749;0.0295;0.22419;0.0236;0.0;0.0;0.53392;0.2562927586832436
157;ADA;2021-08-30;0.04673;0.26168;0.03738;0.43925;0.02804;0.0;0.01869;0.16822;0.13454920135475124
158;ADA;2021-08-31;0.0;0.29032;0.0;0.48387;0.0;0.0;0.06452;0.16129;0.04613029555054578
159;ADA;2021-09-01;0.00833;0.3;0.04167;0.53333;0.01667;0.0;0.05833;0.04167;0.12795630664656144
160;ADA;2021-09-02;0.07143;0.07143;0.07143;0.57143;0.0;0.0;0.21429;0.0;0.02540117715356007
161;ADA;2021-09-03;0.08333;0.16667;0.08333;0.66667;0.0;0.0;0.0;0.0;0.016167113267176333
162;ADA;2021-09-04;0.1326;0.0884;0.11602;0.1768;0.12707;0.00552;0.03315;0.32044;0.17708791992171416
163;ADA;2021-09-05;0.0;0.02174;0.02174;0.15217;0.02174;0.0;0.0;0.78261;0.08655808833568922
164;ADA;2021-09-06;0.04673;0.17757;0.02804;0.20561;0.02804;0.0;0.00935;0.50467;0.10923806831850928
165;ADA;2021-09-07;0.2;0.16129;0.10968;0.19355;0.11613;0.0;0.00645;0.2129;0.14967585673030898
166;ADA;2021-09-08;0.19008;0.12397;0.08264;0.17355;0.06612;0.0;0.00826;0.35537;0.20030814079103
167;ADA;2021-09-09;0.0;0.36364;0.0;0.36364;0.09091;0.0;0.09091;0.09091;0.01967865853128296
168;ADA;2021-09-11;0.08491;0.24528;0.07547;0.33019;0.0566;0.0;0.01887;0.18868;0.18208011303917035
169;ADA;2021-09-12;0.11429;0.22857;0.05714;0.4;0.05714;0.0;0.0;0.14286;0.05668494309429394
170;ADA;2021-09-13;0.19828;0.32759;0.06034;0.32759;0.02586;0.0;0.01724;0.0431;0.10955820416433983
171;ADA;2021-09-14;0.05769;0.10256;0.04487;0.22436;0.03846;0.0;0.00641;0.52564;0.10522629635343811
172;ADA;2021-09-15;0.25;0.15625;0.125;0.25;0.09375;0.03125;0.0;0.09375;0.023010124121046027
173;ADA;2021-09-18;0.04808;0.17308;0.02885;0.375;0.0;0.0;0.0;0.375;0.18371083877917416
174;ADA;2021-09-19;0.10526;0.07895;0.05263;0.23684;0.10526;0.0;0.02632;0.39474;0.05961622955944346
175;ADA;2021-09-20;0.25;0.1;0.05;0.35;0.0;0.0;0.1;0.15;0.021139302087064524
176;ADA;2021-09-21;0.0;0.5;0.25;0.25;0.0;0.0;0.0;0.0;0.004101804901598859
177;ADA;2021-09-22;0.03268;0.13725;0.05229;0.26144;0.07843;0.0;0.0915;0.34641;0.1363499943712567
178;ADA;2021-09-23;0.09589;0.16438;0.08219;0.31507;0.08219;0.0;0.0137;0.24658;0.10648685593730811
179;ADA;2021-09-24;0.0;0.20833;0.0;0.5;0.0;0.0;0.0;0.29167;0.018198006951003258
180;ADA;2021-09-25;0.02703;0.31532;0.01802;0.48048;0.02703;0.0;0.0;0.13213;0.3162391480456663
181;ADA;2021-09-26;0.01504;0.36842;0.01504;0.52632;0.01504;0.0;0.0;0.06015;0.116171112487423
182;ADA;2021-09-27;0.06667;0.375;0.03333;0.44167;0.03333;0.0;0.00833;0.04167;0.12673576683861784
183;ADA;2021-09-28;0.05556;0.26389;0.04167;0.43056;0.03472;0.0;0.04861;0.125;0.15184680844908793
184;ADA;2021-09-29;0.47059;0.0;0.29412;0.0;0.17647;0.0;0.0;0.05882;0.01968866347526457
185;ADA;2021-09-30;0.0303;0.12121;0.0303;0.54545;0.0;0.0;0.0;0.27273;0.05514426371358967
186;ADA;2021-10-01;0.0566;0.12264;0.06604;0.42453;0.06604;0.0;0.00943;0.25472;0.09433150307589618
187;ADA;2021-10-02;0.07609;0.09783;0.1087;0.19565;0.1413;0.0;0.03261;0.34783;0.1585197427091306
